8208	0	14803
18722	0	15884
1122	0	3687
14803	0	4978
8769	0	802
8735	0	7699
9912	0	11606
1573	0	19156
19965	0	11077
1122	0	21950
8981	0	18847
21605	0	4756
4384	0	23142
1924	0	2067
1217	0	16173
6330	0	17313
17911	0	7001
6137	0	13288
22900	0	13825
22084	0	7884
5181	0	10585
4543	0	12493
10989	0	17307
4609	0	14059
3493	0	9457
4097	0	1610
13359	0	21526
19913	0	11606
22592	0	7074
23017	0	5094
16233	0	1962
2552	0	5388
7665	0	9908
1358	0	7766
20200	0	15396
9016	0	12870
4756	0	8719
11942	0	9032
7599	0	3287
9678	0	6593
12123	0	23283
22747	0	13706
22802	0	3190
3712	0	16604
10574	0	17390
15396	0	2626
12632	0	10589
16992	0	8581
9903	0	1962
20650	0	5388
20042	0	22090
1979	0	21667
20610	0	15267
22802	0	15540
15960	0	8885
4544	0	7001
19760	0	9693
5388	0	2552
19745	0	18121
19542	0	17802
1122	0	16824
12206	0	14623
10574	0	752
19745	0	7665
6526	0	16604
4660	0	19745
3264	0	10884
15919	0	12493
8671	0	15510
11942	0	4685
731	0	21137
22587	0	4267
17824	0	16161
15844	0	15386
15515	0	19305
1265	0	6512
14681	0	16340
13379	0	13924
22571	0	22818
15540	0	8241
2433	0	16588
20887	0	10761
255	0	15960
16233	0	14524
270	0	4531
21810	0	13143
13025	0	16588
16962	0	8067
4748	0	20650
4803	0	19761
7986	0	21605
2104	0	663
22955	0	6137
9044	0	5468
16274	0	21232
6704	0	20200
3008	0	22965
174	0	2649
19416	0	5238
20338	0	13025
19117	0	6134
16588	0	11312
4748	0	752
16914	0	5458
10906	0	12209
19913	0	5276
15919	0	14524
2310	0	1057
22818	0	21605
13125	0	8762
14741	0	12889
12383	0	20808
4685	0	11942
22625	0	1217
2021	0	8885
10589	0	12632
23142	0	15510
13125	0	22587
1877	0	15696
19758	0	18133
18072	0	12889
996	0	2752
18105	0	21220
17398	0	4531
10226	0	17124
20449	0	17575
2351	0	21385
12017	0	10576
17124	0	11077
21667	0	5577
161	0	16949
16577	0	22849
3244	0	6190
4978	0	12209
6134	0	8719
19236	0	5798
20753	0	10898
7744	0	10842
5206	0	19814
16914	0	8025
3919	0	15696
15554	0	22571
9044	0	3378
12686	0	8671
17257	0	578
16992	0	10589
10761	0	3712
7283	0	22849
19620	0	10298
5219	0	20200
21545	0	15712
8396	0	802
14457	0	5827
11789	0	7599
19761	0	13890
18632	0	21930
5206	0	13601
812	0	11954
2649	0	319
934	0	11396
19813	0	20887
4803	0	3756
19913	0	2453
12273	0	15884
19156	0	1122
20887	0	9674
